Filename,Domain_Structure,M_r,M_s,H_c,H_cr,M_r/M_s,H_cr/H_c
PLAG128, Single_Domain,,,0.0527247655814231,0.0705371860115808,0.48463823378,1.33783783073724
PLAG129, Single_Vortex,,,0.020824557872967,0.0287936091035368,0.47728807619,1.38267565050755
PLAG130, Single_Vortex,,,0.00618667189959191,0.0225685278166961,0.1421722846505,3.64792705722518
PLAG131, Single_Vortex,,,0.0360894430048867,0.0477108172418745,0.45905884512,1.32201589355131
PLAG132, Single_Domain,,,0.0533364022222236,0.0702823232084701,0.50774190197,1.31771773648403
PLAG133, Single_Domain,,,0.0244879976510972,0.0372105599813747,0.5252023575,1.51954277812124
PLAG134, Single_Domain,,,0.0295746231068402,0.0456323667850508,0.498099733825,1.54295683228831
PLAG135, Single_Vortex,,,0.00386125138207154,0.00960216036029357,0.1816908222185,2.48680010964271
PLAG136, Single_Vortex,,,0.00392086415494016,0.0850935656986725,0.03510563445,21.7027579472391
PLAG137, Single_Domain,,,0.0673502693699273,0.0941803975022196,0.471186189785,1.39836705009932
PLAG138, Single_Domain,,,0.0432130113897526,0.0609787917961406,0.49155614467,1.41112109142666
PLAG139, Single_Domain,,,0.0412728140462136,0.0557183617838275,0.43785732137,1.35000152210215
PLAG140, Single_Domain,,,0.0605392310196396,0.0807281486055491,0.484655591315,1.3334848699905
PLAG141, Single_Domain,,,0.0555289118903682,0.0824603469483778,0.484745179285,1.48499842948806
PLAG142, Single_Domain,,,0.0518177409267944,0.0756327250366122,0.46203427977,1.45959132304634
PLAG143, Single_Domain,,,0.0259578428087883,0.0356428497810364,0.44148640577,1.37310523234115
PLAG144, Single_Vortex,,,0.00749351732699399,0.0690806129662833,0.05747763887655,9.21871665224998
PLAG145, Single_Domain,,,0.0487493171769103,0.0620561315217164,0.490959802375,1.27296411755914
PLAG146, Single_Vortex,,,0.0181476295788562,0.029015879361878,0.40611859542,1.59887985567461
PLAG147, Single_Vortex,,,0.0255945257835941,0.0343684340808025,0.4747679110025,1.34280409691483
PLAG148, Single_Vortex,,,0.0110774459484792,0.0553935311958781,0.336264904998,5.0005688543651
PLAG149, Single_Vortex,,,0.00722352239721488,0.058614418159999,0.067021478652,8.11438172914069
PLAG150, Single_Domain,,,0.0424803125613191,0.0572065348926392,0.48179983448,1.34665993358837
PLAG151, Single_Vortex,,,0.00555845495444352,0.0419711720163748,0.07573406813,7.55087022569506
PLAG152, Single_Domain,,,0.0640745035535402,0.091885274720181,0.5035578969,1.43403802798725
PLAG153, Single_Vortex,,,0.00140466574400351,0.106813521500958,0.015372358075,76.0419494509232
PLAG154, Single_Domain,,,0.0420717953788876,0.058812443369251,0.487065138834,1.39790666976775
PLAG155, Single_Domain,,,0.0327509274775148,0.0451332334529693,0.5752537397,1.37807497158533
PLAG156, Single_Vortex,,,0.0153068710181254,0.0274139774499184,0.353729130145,1.79095893716335
PLAG157, Single_Domain,,,0.0338193690180096,0.0448550548083454,0.473351920585,1.32631258686284
PLAG158, Single_Vortex,,,0.022399522106076,0.0370113005353654,0.486502655725,1.65232545409198
PLAG159, Single_Vortex,,,0.00647022242577402,0.0435913633727314,0.0599238992735,6.73722795047754
PLAG160, Single_Vortex,,,0.00841760225502767,0.0352219062332384,0.41972316467,4.18431581418581
PLAG161, Single_Domain,,,0.0325204659469706,0.0427562064196071,0.49693997649,1.31474765734683
PLAG162, Single_Domain,,,0.0434745873988795,0.0530021317753892,0.4678700450985,1.21915203677713
PLAG163, Single_Domain,,,0.051510387450426,0.0697976909975094,0.493732873955,1.35502166557538
PLAG164, Single_Domain,,,0.0914921293254807,0.111890570622029,0.50992283215,1.22295296269673
PLAG165, Single_Domain,,,0.0456482637437286,0.0623407127330022,0.44029248695,1.36567544130453
PLAG166, Single_Domain,,,0.0696228247944731,0.0899481474459174,0.4925244914,1.29193476006532
PLAG167, Single_Domain,,,0.0978277656768636,0.114329162316862,0.51235679885,1.16867804887321
PLAG168, Single_Vortex,,,0.013405129815492,0.0217895372912146,0.40209438363,1.62546260954765
PLAG169, Single_Domain,,,0.0712408918673826,0.0921528189554428,0.49353851976,1.29353825506548
PLAG170, Single_Domain,,,0.0659108986201266,0.0778653180996949,0.490227881905,1.18137242443722
PLAG171, Single_Domain,,,0.0259024150573054,0.0397850014017781,0.47132923844,1.53595721919209
PLAG172, Single_Vortex,,,0.0127356100817322,0.0307421014664828,0.40261848371,2.41386955702884
PLAG173, Single_Domain,,,0.0476848986230489,0.0669010301464768,0.476827121675,1.40298149054132
PLAG174, Single_Vortex,,,0.0158394543021193,0.0318207525882934,0.4655039525,2.00895510548212
PLAG175, Single_Domain,,,0.023191771104056,0.0307880493253625,0.4866097146,1.32754196250143
PLAG176, Single_Vortex,,,0.0233597440093244,0.0312662926837254,0.6656518493,1.3384689777099
PLAG177, Single_Domain,,,0.0584636304010667,0.0851460420818474,0.51044465155,1.45639334228368
PLAG178, Single_Domain,,,0.0866514980272111,0.10211608070406,0.51811548085,1.17846872851514
PLAG179, Single_Domain,,,0.0360779751263925,0.0572920571921471,0.49503733805,1.58800644968114
PLAG180, Single_Domain,,,0.0276358307775641,0.0403801827995298,0.418274902045,1.46115320811387
PLAG181, Single_Domain,,,0.0367477291858286,0.0555044442308752,0.4843430722495,1.51041834313615
PLAG182, Single_Domain,,,0.0344856127173119,0.0532769907889634,0.463560697745,1.54490486295516
PLAG183, Single_Domain,,,0.0384519599621244,0.0507438812159646,0.46317659118,1.31966956342272
PLAG184, Single_Domain,,,0.0652044365670719,0.0834215920287992,0.49270298663,1.27938521396452
PLAG185, Single_Domain,,,0.0435085552965031,0.064754569533641,0.4946856098,1.48831808117622
